0.578,-6.8239
0.58,-6.8526
0.582,-6.8761
0.584,-6.8995
0.586,-6.9229
0.588,-6.9463
0.59,-6.9698
0.592,-6.992
0.594,-7.0142
0.596,-7.0364
0.598,-7.0586
0.6,-7.0808
0.602,-7.1015
0.604,-7.1222
0.606,-7.1429
0.608,-7.1635
0.61,-7.1842
0.612,-7.2078
0.614,-7.2314
0.616,-7.255
0.618,-7.2786
0.62,-7.3021
0.622,-7.3258
0.624,-7.3494
0.626,-7.3731
0.628,-7.3967
0.63,-7.4204
0.632,-7.4424
0.634,-7.4643
0.636,-7.4863
0.638,-7.5083
0.64,-7.5302
0.642,-7.5546
0.644,-7.579
0.646,-7.6034
0.648,-7.6277
0.65,-7.6521
0.652,-7.6748
0.654,-7.6974
0.656,-7.7201
0.658,-7.7427
0.66,-7.7654
0.662,-7.792
0.664,-7.8187
0.666,-7.8453
0.668,-7.8719
0.67,-7.8986
0.672,-7.9284
0.674,-7.9583
0.676,-7.9882
0.678,-8.018
0.68,-8.0479
0.682,-8.0788
0.684,-8.1098
0.686,-8.1407
0.688,-8.1716
0.69,-8.2026
0.692,-8.2336
0.694,-8.2645
0.696,-8.2955
0.698,-8.3265
0.7,-8.3575
0.702,-8.3843
0.704,-8.4112
0.706,-8.438
0.708,-8.4649
0.71,-8.4917
0.712,-8.5182
0.714,-8.5448
0.716,-8.5713
0.718,-8.5978
0.72,-8.6243
0.722,-8.6503
0.724,-8.6762
0.726,-8.7021
0.728,-8.7281
0.73,-8.754
0.732,-8.7839
0.734,-8.8138
0.736,-8.8437
0.738,-8.8737
0.74,-8.9036
0.742,-8.9381
0.744,-8.9727
0.746,-9.0072
0.748,-9.0418
0.75,-9.0763
0.752,-9.1134
0.754,-9.1504
0.756,-9.1875
0.758,-9.2246
0.76,-9.2616
0.762,-9.2981
0.764,-9.3346
0.766,-9.371
0.768,-9.4075
0.77,-9.4439
0.772,-9.4785
0.774,-9.5131
0.776,-9.5477
0.778,-9.5822
0.78,-9.6168
0.782,-9.6555
0.784,-9.6941
0.786,-9.7328
0.788,-9.7714
0.79,-9.8101
0.792,-9.8474
0.794,-9.8848
0.796,-9.9221
0.798,-9.9594
0.8,-9.9967
0.802,-10.037
0.804,-10.078
0.806,-10.118
0.808,-10.159
0.81,-10.199
0.812,-10.243
0.814,-10.286
0.816,-10.329
0.818,-10.372
0.82,-10.415
0.822,-10.462
0.824,-10.509
0.826,-10.556
0.828,-10.603
0.83,-10.651
0.832,-10.696
0.834,-10.741
0.836,-10.786
0.838,-10.831
0.84,-10.876
0.842,-10.879
0.844,-10.881
0.846,-10.884
0.848,-10.886
0.85,-10.889
0.852,-10.782
0.854,-10.675
0.856,-10.568
0.858,-10.461
0.86,-10.353
0.862,-10.084
0.864,-9.8152
0.866,-9.5461
0.868,-9.2769
0.87,-9.0078
0.872,-8.5401
0.874,-8.0725
0.876,-7.6048
0.878,-7.1372
0.88,-6.6695
0.882,-6.122
0.884,-5.5745
0.886,-5.027
0.888,-4.4795
0.89,-3.932
0.892,-3.4629
0.894,-2.9938
0.896,-2.5247
0.898,-2.0557
0.9,-1.5866
0.902,-1.3026
0.904,-1.0186
0.906,-0.73459
0.908,-0.4506
0.91,-0.16661
0.912,-0.0046278
0.914,0.15735
0.916,0.31933
0.918,0.48131
0.92,0.64329
0.922,0.70284
