TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  5.207777778e-02  5.623333333e-02  6.038888889e-02  6.454444444e-02  6.870000000e-02  7.285555556e-02
  7.701111111e-02  8.116666667e-02  8.532222222e-02  8.947777778e-02  9.363333333e-02  9.778888889e-02
  1.019444444e-01  1.061000000e-01  1.102555556e-01  1.144111111e-01  1.185666667e-01  1.227222222e-01
  1.268777778e-01  1.310333333e-01  1.351888889e-01  1.393444444e-01  1.435000000e-01  1.476555556e-01
  1.518111111e-01  1.559666667e-01  1.601222222e-01  1.642777778e-01  1.684333333e-01  1.725888889e-01
  1.767444444e-01  1.809000000e-01  1.850555556e-01  1.892111111e-01  1.933666667e-01  1.975222222e-01
  2.016777778e-01  2.058333333e-01  2.099888889e-01  2.141444444e-01  2.183000000e-01  2.224555556e-01
  2.266111111e-01  2.307666667e-01  2.349222222e-01
  5.108107312e-02  5.523884135e-02  5.938520046e-02  6.353154468e-02  6.768712159e-02  7.184444275e-02
  7.598346534e-02  8.010808358e-02  8.422914527e-02  8.834751908e-02  9.246592670e-02  9.658065505e-02
  1.006953446e-01  1.048275274e-01  1.089873755e-01  1.131736882e-01  1.173819919e-01  1.216079892e-01
  1.258270239e-01  1.300452996e-01  1.342628097e-01  1.384798512e-01  1.426954608e-01  1.469028040e-01
  1.511036468e-01  1.553049559e-01  1.595067159e-01  1.637088961e-01  1.679059945e-01  1.720964953e-01
  1.762862994e-01  1.804768510e-01  1.846680552e-01  1.888561807e-01  1.930385807e-01  1.972190210e-01
  2.014001454e-01  2.055827134e-01  2.097631817e-01  2.139396389e-01  2.177780359e-01  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -3.458711219e-03 -3.943531524e-03 -4.535391628e-03 -5.208959894e-03 -5.932836394e-03 -6.688485456e-03
 -7.469584565e-03 -8.250195269e-03 -9.029579293e-03 -9.803317782e-03 -1.056342655e-02 -1.129139168e-02
 -1.194373439e-02 -1.244199232e-02 -1.276001113e-02 -1.287543314e-02 -1.278869098e-02 -1.248550664e-02
 -1.209424597e-02 -1.166670194e-02 -1.123401575e-02 -1.079553555e-02 -1.034977023e-02 -9.901516438e-03
 -9.448014465e-03 -8.989297255e-03 -8.525602801e-03 -8.057424796e-03 -7.584274368e-03 -7.109144679e-03
