TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  5.207777778e-02  5.623333333e-02  6.038888889e-02  6.454444444e-02  6.870000000e-02  7.285555556e-02
  7.701111111e-02  8.116666667e-02  8.532222222e-02  8.947777778e-02  9.363333333e-02  9.778888889e-02
  1.019444444e-01  1.061000000e-01  1.102555556e-01  1.144111111e-01  1.185666667e-01  1.227222222e-01
  1.268777778e-01  1.310333333e-01  1.351888889e-01  1.393444444e-01  1.435000000e-01  1.476555556e-01
  1.518111111e-01  1.559666667e-01  1.601222222e-01  1.642777778e-01  1.684333333e-01  1.725888889e-01
  1.767444444e-01  1.809000000e-01  1.850555556e-01  1.892111111e-01  1.933666667e-01  1.975222222e-01
  2.016777778e-01  2.058333333e-01  2.099888889e-01  2.141444444e-01  2.183000000e-01  2.224555556e-01
  2.266111111e-01  2.307666667e-01  2.349222222e-01
  4.525809821e-02  4.885921410e-02  5.240637065e-02  5.592027961e-02  5.942216093e-02  6.291271250e-02
  6.637619633e-02  6.982671983e-02  7.327449299e-02  7.672210681e-02  8.017529521e-02  8.363819667e-02
  8.713182079e-02  9.070409795e-02  9.437495833e-02  9.815239892e-02  1.020321567e-01  1.060161133e-01
  1.100295334e-01  1.140570180e-01  1.180858945e-01  1.221166998e-01  1.261491597e-01  1.301750802e-01
  1.341971972e-01  1.382218612e-01  1.422489609e-01  1.462782685e-01  1.503049570e-01  1.543264226e-01
  1.583490347e-01  1.623739016e-01  1.664008035e-01  1.704264750e-01  1.744480346e-01  1.784688344e-01
  1.824914389e-01  1.865165383e-01  1.905411671e-01  1.945627645e-01  1.980636670e-01  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -2.393623368e-02 -2.607025561e-02 -2.829742259e-02 -3.059922806e-02 -3.295074748e-02 -3.533200235e-02
 -3.772906391e-02 -4.011982016e-02 -4.250800972e-02 -4.488994858e-02 -4.725945000e-02 -4.959808983e-02
 -5.186762976e-02 -5.400352111e-02 -5.598600842e-02 -5.779417852e-02 -5.942660702e-02 -6.086850274e-02
 -6.222710424e-02 -6.355225037e-02 -6.487238777e-02 -6.618704086e-02 -6.749445717e-02 -6.879623796e-02
 -7.009057937e-02 -7.138034659e-02 -7.266575130e-02 -7.394723058e-02 -7.522209859e-02 -7.649247617e-02
