TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -6.144251191e-02 -1.452495908e-01 -1.423821312e-01 -8.062459228e-02 -7.523496717e-03  8.672414849e-02
  2.088389495e-01  2.846742434e-01  3.379536027e-01  3.743410656e-01  3.816893098e-01  4.315045046e-01
  5.027803383e-01  5.630491343e-01  6.118185520e-01  6.494547527e-01  6.849525774e-01  6.981262723e-01
  7.105266650e-01  7.147524457e-01  7.139929609e-01  7.090943175e-01  6.999106975e-01  6.828065318e-01
  6.684319349e-01  6.493746914e-01  6.257904473e-01  5.980302410e-01  5.617235522e-01  5.267860433e-01
  4.903308507e-01  4.508247225e-01  4.085976942e-01  3.601789986e-01  3.132355884e-01  2.683884916e-01
  2.227107422e-01  1.783540293e-01  1.318612447e-01  9.226295473e-02  9.474632911e-03  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
  4.030385666e-01  5.857904413e-02 -1.521821919e+00 -3.560604383e+00 -5.094722397e+00 -6.179534957e+00
 -6.629287940e+00 -6.482950287e+00 -5.800660532e+00 -4.524611989e+00 -2.788302261e+00 -9.418360062e-01
 -4.877372374e-01 -4.858753347e-01 -4.497656246e-01 -3.419224569e-01 -3.673853290e-01 -9.289102811e-02
 -7.177544056e-02 -3.945306889e-02 -4.737397123e-02 -4.689512304e-02 -4.814475162e-02 -4.984558140e-02
 -5.247839044e-02 -5.672500139e-02 -6.275802511e-02 -7.162865897e-02 -8.330536465e-02 -9.721406135e-02
 -1.135742806e-01 -1.316241277e-01 -1.532237789e-01 -1.799982110e-01 -2.089643918e-01 -2.379051658e-01
 -2.689921056e-01 -3.006075732e-01 -3.351182713e-01 -3.639417120e-01  5.391200225e+00  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
  4.076950680e-01  1.566172023e-01  1.528468065e+00  3.561517078e+00  5.094727952e+00  6.180143474e+00
  6.632576596e+00  6.489197473e+00  5.810496988e+00  4.540071022e+00  2.814305639e+00  1.035978378e+00
  7.004824633e-01  7.437063725e-01  7.593491013e-01  7.339635156e-01  7.772592960e-01  7.042790889e-01
