TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  0.000000000e+00  0.000000000e+00  0.000000000e+00
  3.970592744e-01  4.988117905e-02 -1.527451114e+00 -3.560208705e+00 -5.089724358e+00 -6.170918017e+00
 -6.616709836e+00 -6.472665415e+00 -5.796990544e+00 -4.531724868e+00 -2.811559759e+00 -9.777386711e-01
 -5.237563190e-01 -5.161676575e-01 -4.738830572e-01 -3.604250503e-01 -3.784287661e-01 -9.796576491e-02
 -7.595590546e-02 -4.327431875e-02 -5.106264369e-02 -4.977335153e-02 -5.009697259e-02 -5.091826154e-02
 -5.252213302e-02 -5.579524203e-02 -6.097353558e-02 -6.916989627e-02 -8.069206764e-02 -9.469037051e-02
 -1.115069213e-01 -1.305030169e-01 -1.536261866e-01 -1.829618775e-01 -2.151907119e-01 -2.479911980e-01
 -2.838724478e-01 -3.211064408e-01 -3.633819321e-01 -4.013188648e-01  5.305903164e+00  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
  1.725370525e-01  1.833217985e-01  1.755639024e-01  1.389886860e-01  1.208455563e-01  1.054991981e-01
  6.239977303e-02  9.031625216e-02  1.545675715e-01  2.567001316e-01  3.945218966e-01  5.538017064e-01
  6.320440874e-01  6.837213548e-01  7.407966419e-01  8.032555948e-01  8.558945612e-01  9.304556692e-01
  9.877622042e-01  1.041425917e+00  1.086190598e+00  1.124917074e+00  1.158003265e+00  1.181254214e+00
  1.201775243e+00  1.212826479e+00  1.213997412e+00  1.205106822e+00  1.181275194e+00  1.151187879e+00
  1.112013367e+00  1.061250415e+00  9.986748957e-01  9.179705913e-01  8.305900097e-01  7.381076379e-01
  6.350330780e-01  5.272786180e-01  4.063497167e-01  2.968659261e-01 -7.685987331e-02  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
  4.329262083e-01  1.899868780e-01  1.537507590e+00  3.562920695e+00  5.091158776e+00  6.171819768e+00
  6.617004064e+00  6.473295498e+00  5.799050828e+00  4.538989451e+00  2.839104754e+00  1.123685561e+00
  8.208534645e-01  8.566819373e-01  8.794002596e-01  8.804122713e-01  9.358225424e-01  9.355987620e-01
  9.906782886e-01  1.042324617e+00  1.087390182e+00  1.126017677e+00  1.159086394e+00  1.182351127e+00
  1.202922404e+00  1.214109211e+00  1.215527658e+00  1.207090273e+00  1.184027995e+00  1.155075668e+00
  1.117590051e+00  1.069244350e+00  1.010421968e+00  9.360262043e-01  8.580132905e-01  7.786543003e-01
  6.955936865e-01  6.173589615e-01  5.451298202e-01  4.991855460e-01  5.306459821e+00  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -2.054483222e-02 -2.581412833e-03  9.256443515e-02  2.292025692e-01  3.481441744e-01  4.481370286e-01
  5.094328209e-01  5.256019570e-01  4.954085098e-01  4.071206681e-01  2.664106114e-01  1.003426676e-01
  5.885712516e-02  6.018067721e-02  5.785175436e-02  4.705491625e-02  5.109452510e-02  1.906952263e-02
  1.752631262e-02  1.441299279e-02  1.635880005e-02  1.703848322e-02  1.788827295e-02  1.883008017e-02
  1.966647078e-02  2.065231205e-02  2.184918964e-02  2.346516188e-02  2.564836086e-02  2.815389094e-02
  3.112026476e-02  3.449455678e-02  3.866046286e-02  4.406203589e-02  5.014081388e-02  5.650093534e-02
  6.368107632e-02  7.139176941e-02  8.032266271e-02  8.863775171e-02 -1.161231744e+00  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -2.621244549e-01 -2.670524010e-01 -2.612677422e-01 -2.413343202e-01 -2.121339572e-01 -1.726740944e-01
 -1.262037015e-01 -8.537882003e-02 -4.998871239e-02 -2.379820781e-02 -1.093081746e-02 -4.530084822e-03
  6.381516182e-03  1.839234150e-02  2.920290370e-02  3.827325099e-02  4.776274337e-02  5.297414041e-02
  5.894143150e-02  6.347750495e-02  6.736004528e-02  7.039047229e-02  7.257859295e-02  7.337421447e-02
  7.413885903e-02  7.387816584e-02  7.260068283e-02  7.035280326e-02  6.640427193e-02  6.230079544e-02
  5.763545791e-02  5.218794590e-02  4.601715410e-02  3.848011355e-02  3.096308658e-02  2.365221844e-02
  1.603071762e-02  8.483324788e-03  2.030760752e-04 -7.178892007e-03  3.631880480e-02  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
  2.753476389e-01  2.858725697e-01  2.863266732e-01  2.734885498e-01  2.488002467e-01  2.135230851e-01
  1.727397181e-01  1.349994673e-01  1.040794243e-01  8.502657231e-02  8.272272283e-02  8.964276302e-02
  8.694424152e-02  7.958531268e-02  7.244581595e-02  6.700085668e-02  6.029747097e-02  5.707112455e-02
  5.559927782e-02  5.450206178e-02  5.328470279e-02  5.188936229e-02  5.034521748e-02  4.858084320e-02
  4.692280604e-02  4.517575024e-02  4.336380567e-02  4.152025526e-02  3.952439031e-02  3.765939109e-02
  3.586027711e-02  3.411714551e-02  3.247453973e-02  3.089571943e-02  2.948680170e-02  2.827125308e-02
  2.724894174e-02  2.641784501e-02  2.572041917e-02  2.511249117e-02 -8.988441746e-02  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
