x, y
0.020000002530479143, 8.846787179676198
0.0215920408333298, 9.217462628064949
0.023184079136180452, 9.563426756965013
0.02477611743903111, 9.835255042046196
0.026169153800814467, 10.107084269803792
0.02796020163616986, 10.378913026223184
0.030149253353659825, 10.626029991815685
0.0323383050711498, 10.92257006772376
0.035223878765250176, 11.194397881466736
0.03820895342988419, 11.392092208081866
0.04079601662094618, 11.515650690878116
0.0437810912855802, 11.515650690878116
0.04666666497968057, 11.416803998908758
0.04935323673271366, 11.317956364262987
0.05233831139734767, 11.095552132173792
0.05512437652947695, 10.774299794100619
0.05791044925304367, 10.453046984689237
0.05791044925304367, 10.453046984689237
0.06069651438517296, 9.958813524842444
0.062587063191062, 9.563426756965013
0.06457711296748468, 9.14332772692248
0.06696517421747938, 8.649093795737484
0.06905472496443571, 8.130148545063797
0.0708457727997911, 7.635914613878799
0.07303482451728105, 6.943987298755083
0.07552238673780941, 6.202636401977584
0.07771143845529939, 5.436573243034989
0.07990050535566423, 4.670511026768806
0.08169153800814476, 3.929160129991307
0.08358209440547121, 3.1878092332138084
0.08547263561992278, 2.4217460742712134
0.08547263561992278, 2.4217460742712134
0.08686567957314359, 1.779241398124865
0.08815919978151843, 1.359143310758749
0.08935324179367196, 0.6672150529586185
